iter	Passed	Remaining
586	49365	34732
587	49450	34649
588	49532	34563
589	49608	34473
590	49691	34388
591	49769	34300
592	49850	34214
593	49930	34127
594	50011	34041
595	50089	33953
596	50164	33863
597	50238	33772
598	50315	33683
599	50396	33597
600	50476	33510
601	50555	33423
602	50634	33336
603	50714	33249
604	50801	33167
605	50880	33080
606	50960	32994
607	51045	32910
608	51126	32824
609	51210	32741
610	51284	32650
611	51363	32563
612	51443	32477
613	51521	32389
614	51598	32301
615	51678	32214
616	51766	32134
617	51853	32051
618	51937	31968
619	52019	31882
620	52099	31796
621	52184	31713
622	52258	31623
623	52339	31538
624	52423	31454
625	52505	31369
626	52581	31280
627	52661	31194
628	52744	31110
629	52831	31027
630	52915	30944
631	52991	30855
632	53071	30769
633	53150	30682
634	53234	30599
635	53318	30515
636	53396	30428
637	53478	30343
638	53557	30257
639	53637	30171
640	53721	30087
641	53805	30003
642	53884	29917
643	53963	29830
644	54045	29745
645	54124	29659
646	54205	29574
647	54288	29490
648	54371	29406
649	54453	29320
650	54533	29235
651	54618	29152
652	54698	29066
653	54774	28978
654	54851	28891
655	54941	28810
656	55018	28723
657	55093	28635
658	55180	28553
659	55258	28466
660	55341	28382
661	55415	28293
662	55500	28210
663	55582	28126
664	55670	28044
665	55748	27958
666	55831	27873
667	55904	27784
668	55983	27698
669	56062	27612
670	56137	27524
671	56216	27439
672	56298	27354
673	56381	27270
674	56462	27185
675	56543	27100
676	56628	27017
677	56703	26930
678	56782	26844
679	56864	26759
680	56947	26675
681	57029	26591
682	57106	26504
683	57186	26419
684	57271	26336
685	57350	26250
686	57431	26166
687	57514	26081
688	57595	25997
689	57677	25913
690	57753	25826
691	57837	25742
692	57912	25655
693	58001	25574
694	58086	25491
695	58160	25403
696	58236	25316
697	58312	25229
698	58387	25142
699	58465	25056
700	58543	24970
701	58622	24885
702	58695	24797
703	58784	24716
704	58863	24630
705	58943	24545
706	59030	24463
707	59106	24377
708	59187	24292
709	59265	24207
710	59340	24119
711	59422	24036
712	59501	23950
713	59584	23867
714	59669	23784
715	59750	23699
716	59830	23615
717	59913	23531
718	59992	23446
719	60072	23361
720	60156	23278
721	60235	23193
722	60320	23110
723	60396	23023
724	60478	22940
725	60554	22853
726	60637	22770
727	60715	22684
728	60797	22601
729	60881	22517
730	60966	22435
731	61039	22347
732	61119	22263
733	61193	22176
734	61275	22092
735	61354	22007
736	61430	21921
737	61508	21836
738	61588	21751
739	61666	21666
740	61746	21582
741	61831	21499
742	61910	21414
743	61990	21329
744	62068	21245
745	62150	21161
746	62228	21075
747	62310	20992
748	62384	20905
749	62467	20822
750	62551	20739
751	62626	20653
752	62707	20569
753	62793	20486
754	62876	20403
755	62964	20321
756	63051	20239
757	63125	20153
758	63207	20069
759	63294	19987
760	63384	19906
761	63474	19825
762	63556	19741
763	63636	19657
764	63715	19572
765	63804	19491
766	63882	19406
767	63961	19321
768	64039	19236
769	64122	19153
770	64202	19069
771	64282	18984
772	64363	18900
773	64447	18817
774	64529	18734
775	64610	18650
776	64685	18564
777	64765	18480
778	64854	18398
779	64936	18315
780	65012	18230
781	65094	18146
782	65177	18063
783	65256	17978
784	65335	17894
785	65421	17812
786	65504	17728
787	65591	17646
788	65678	17564
789	65757	17479
790	65838	17395
791	65914	17310
792	66002	17228
793	66088	17146
794	66174	17063
795	66255	16980
796	66340	16897
797	66418	16812
798	66493	16727
799	66583	16645
800	66664	16562
801	66744	16478
802	66827	16394
803	66911	16311
804	66992	16228
805	67074	16144
806	67160	16061
807	67254	15981
808	67432	15920
809	67513	15836
810	67596	15753
811	67677	15669
812	67756	15584
813	67835	15500
814	67911	15415
815	67997	15332
816	68071	15247
817	68150	15163
818	68230	15079
819	68317	14996
820	68396	14912
821	68478	14828
822	68558	14744
823	68643	14661
824	68722	14577
825	68805	14494
826	68895	14412
827	68979	14328
828	69061	14245
829	69138	14160
830	69217	14076
831	69295	13992
832	69378	13908
833	69463	13826
834	69539	13741
835	69619	13657
836	69701	13573
837	69783	13490
838	69868	13407
839	69952	13324
840	70032	13240
841	70116	13157
842	70197	13073
843	70281	12990
844	70367	12907
845	70448	12823
846	70533	12740
847	70606	12655
848	70688	12572
849	70774	12489
850	70858	12406
851	70939	12322
852	71018	12238
853	71100	12155
854	71182	12071
855	71264	11988
856	71345	11904
857	71426	11821
858	71505	11737
859	71593	11654
860	71671	11570
861	71754	11487
862	71839	11404
863	71922	11321
864	72006	11238
865	72089	11154
866	72168	11070
867	72255	10988
868	72333	10904
869	72412	10820
870	72494	10736
871	72578	10653
872	72658	10569
873	72738	10486
874	72813	10401
875	72890	10317
876	72976	10234
877	73055	10151
878	73130	10066
879	73212	9983
880	73294	9900
881	73378	9817
882	73453	9732
883	73535	9649
884	73614	9565
885	73695	9482
886	73773	9398
887	73862	9315
888	73948	9233
889	74030	9149
890	74112	9066
891	74196	8983
892	74277	8899
893	74361	8816
894	74441	8733
895	74521	8649
896	74608	8567
897	74686	8483
898	74770	8400
899	74859	8317
900	74940	8234
901	75020	8150
902	75103	8067
903	75183	7984
904	75261	7900
905	75343	7817
906	75431	7734
907	75511	7650
908	75597	7568
909	75676	7484
910	75760	7401
911	75845	7318
912	75924	7234
913	75999	7150
914	76076	7067
915	76152	6983
916	76232	6900
917	76313	6816
918	76396	6733
919	76473	6649
920	76556	6566
921	76639	6483
922	76721	6400
923	76805	6317
924	76895	6234
925	76980	6151
926	77071	6069
927	77162	5986
928	77245	5903
929	77332	5820
930	77414	5737
931	77505	5654
932	77590	5571
933	77699	5490
934	77857	5412
935	77938	5329
936	78021	5245
937	78101	5162
938	78185	5079
939	78273	4996
940	78357	4912
941	78442	4829
942	78518	4746
943	78601	4662
944	78687	4579
945	78768	4496
946	78853	4413
947	78932	4329
948	79009	4246
949	79087	4162
950	79176	4079
951	79254	3996
952	79334	3912
953	79416	3829
954	79499	3746
955	79587	3663
956	79669	3579
957	79759	3496
958	79851	3413
959	79935	3330
960	80020	3247
961	80107	3164
962	80183	3080
963	80269	2997
964	80353	2914
965	80438	2831
966	80514	2747
967	80599	2664
968	80687	2581
969	80778	2498
970	80866	2415
971	80952	2331
972	81041	2248
973	81126	2165
974	81207	2082
975	81291	1998
976	81374	1915
977	81457	1832
978	81541	1749
979	81616	1665
980	81699	1582
981	81780	1499
982	81866	1415
983	81947	1332
984	82030	1249
985	82115	1165
986	82193	1082
987	82278	999
988	82355	915
989	82432	832
990	82513	749
991	82590	666
992	82666	582
993	82749	499
994	82832	416
995	82914	332
996	82996	249
997	83082	166
998	83162	83
999	83246	0
